variavel: Comercial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Comercial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades:;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Guaíba;7594;8662;8985;8944;9680;10615;12252;12815;14233;15112;15037;15534;15604;15545;16315;16286;17764;18796;19703;20155;21721;23731;22070;27432;27511;27751;28393;28406
Guaporé;2142;2153;2209;2187;2482;2702;3153;3529;3759;4265;4503;4753;4712;4816;5079;4994;5928;6602;7114;8473;9039;9036;9029;9889;9602;8876;8708;8772
Guarani das Missões;793;818;910;962;1082;1023;1034;980;1060;1120;1085;1013;1123;1090;1093;1045;1287;1361;1527;1533;1617;1676;1811;2098;1987;2224;2062;1961
Harmonia;128;155;157;167;202;259;308;349;413;453;468;488;486;554;622;626;747;742;833;886;932;1057;1054;1168;1061;1005;1024;1082
Herval;360;373;400;362;395;394;448;391;446;411;396;418;562;479;550;544;718;672;629;647;635;697;669;818;833;856;914;921
Herveiras;;;;;;;65;68;78;87;134;140;171;178;175;166;169;143;182;218;227;249;218;215;205;189;194;223
Horizontina;2767;1983;2016;2176;2322;2430;2763;2924;3152;3405;3406;3531;4341;4774;4852;4637;4627;4765;5151;5530;5924;6196;6116;6647;6258;6003;5968;6077
Hulha Negra;;;;;;12;8;8;28;43;6;3;3;46;31;71;40;40;35;32;31;48;89;72;77;73;85;71
Humaitá;518;468;523;520;538;538;504;545;557;593;592;632;679;728;748;765;924;956;1118;1082;1151;1291;1290;1561;1523;1500;1483;1487
Ibarama;201;115;149;201;235;281;313;343;337;327;432;431;377;389;382;402;396;407;446;511;524;546;584;671;580;474;470;504
Ibiraiaras;404;446;479;529;605;675;740;866;980;1078;1336;1294;1196;1348;1363;1383;1372;1709;1965;1940;1972;1943;2042;2224;2256;2038;2077;1749
Ibirapuitã;70;84;117;117;130;137;143;149;168;174;172;176;182;205;250;304;407;391;419;437;470;507;557;592;567;523;512;517
Ibirubá;2235;2171;2437;2609;2789;2985;3112;3242;3324;3354;3314;3371;3542;4065;4038;4068;4430;4963;5300;5411;5561;5907;5966;6676;6613;6434;6348;6276
Igrejinha;2277;2474;2804;2930;3360;3833;4625;4983;5258;6112;6124;6247;6871;6815;7344;7713;9373;10431;11187;12245;13969;16629;15244;16091;15362;13778;13389;12668
Ijuí;;;2;;;;;;;13;2;1;1;1;1;1;2;1;1;1;0;0;0;1;1;1;1;1
Ilópolis;171;196;213;221;266;313;394;416;439;439;434;475;474;514;595;575;660;672;690;738;746;843;902;962;925;930;952;949
Imbé;2333;2767;2562;3373;3806;4274;4683;5059;5791;6009;5396;5232;5586;5709;5751;6357;7755;7986;8616;9123;10013;10590;9913;12696;12645;12060;12844;12302
Imigrante;152;166;169;198;224;274;327;324;330;401;399;389;346;342;378;424;432;478;511;551;628;701;678;729;702;772;792;757
Independência;370;384;395;409;383;418;420;513;577;616;564;555;627;644;679;710;847;865;877;921;1004;958;1015;1037;952;978;1060;950
Inhacorá;;;42;66;77;83;84;85;75;84;94;103;112;134;134;129;129;130;146;163;138;141;130;138;124;123;125;121
Ipê;271;321;348;367;421;457;462;498;535;583;579;827;822;803;868;960;985;989;1037;1126;1261;1363;1298;1354;1229;1181;1196;1225
Ipiranga do Sul;63;63;64;66;71;90;207;83;84;95;96;104;115;117;114;119;122;160;316;308;341;383;406;419;318;316;298;295
Iraí;841;869;843;840;869;918;1038;1033;1109;1224;1259;1376;1779;1455;1462;1435;1523;1647;1751;1704;1752;1862;1804;1941;1730;1601;1701;1823
Itaara;;;;;;;607;602;683;711;695;711;676;702;765;805;885;1014;1132;1172;1265;1310;1630;1669;1621;1959;1569;1553
Itacurubi;55;56;62;65;94;111;118;104;126;135;134;140;148;161;163;180;167;158;180;200;210;237;243;258;251;275;275;299
Itapuca;;;;;;;;;;;;;;;;;;;;;0;0;1;2;;0;0;0
Itaqui;4569;5113;5403;5195;5446;5558;6339;5319;6494;6284;6819;6368;6397;6377;6695;6854;7081;7166;7759;8121;8483;9047;9076;10122;9020;8121;8081;8373
Itati;;;;;;;;;;;137;132;119;99;102;96;97;93;105;145;185;201;178;240;251;258;316;256
Itatiba do Sul;147;135;149;155;144;146;164;177;182;205;226;220;264;263;288;289;310;326;360;364;386;400;374;413;414;383;398;391
Ivorá;;;;;;;;21;43;37;39;43;36;37;35;33;40;34;33;37;41;21;10;13;11;10;11;10
Ivoti;2330;2583;2623;2685;2884;3032;3472;3927;4403;4891;5414;6146;7219;8071;9571;7282;7497;7858;8302;8701;9377;9917;10368;12150;11510;10787;10892;10190
Jacutinga;341;345;345;321;366;422;479;461;485;479;448;462;480;474;501;507;619;657;592;636;783;890;981;981;983;860;814;859
Jaguarão;3479;3756;3879;3755;3776;3826;4175;4230;4661;5228;5131;4747;4431;4406;4597;4675;5017;5735;5805;6131;6630;7041;6738;7879;7567;7487;7580;8022
Jaguari;936;977;1009;1011;1097;1147;1392;1309;1457;1581;1637;1533;1565;1621;1741;1748;1780;1823;2064;2164;2082;2180;2082;2279;2080;2121;2114;2026
Jaquirana;89;83;101;103;132;157;167;178;193;222;215;199;212;264;309;333;323;341;386;405;402;461;474;514;541;524;501;574
Jari;;;;;;;;22;21;27;19;16;15;14;15;17;16;15;15;21;10;13;12;12;12;13;13;13
Jóia;203;219;265;262;299;365;450;449;458;455;472;488;501;542;538;510;656;961;1022;1107;1212;1168;1040;1204;1156;1216;1207;1365
Júlio de Castilhos;2185;2221;2188;2191;2289;2411;2462;2629;2674;2745;2717;2762;2830;3209;3216;3196;3477;5198;5601;6784;6779;6248;6081;6827;6448;7508;7427;7849
Lagoa Bonita do Sul;;;;;;;;;;;;27;86;68;72;89;87;85;87;96;120;132;141;179;179;179;187;192
Lagoa dos Três Cantos;;;57;68;66;65;84;107;149;138;135;167;176;196;161;169;166;174;206;225;340;425;454;495;447;457;406;394
Lagoa Vermelha;2962;2915;3304;3341;3676;4004;4451;4988;5016;5270;5039;5181;5436;5715;5457;5344;6020;6644;6732;6990;7975;8538;9179;10219;9701;9263;9248;9810
Lagoão;1;12;4;;;;9;;10;11;12;12;12;10;6;8;7;9;16;13;12;13;13;13;13;13;12;12
Lajeado;10052;10506;11451;12558;18585;19706;21336;21970;23413;25164;25390;25912;27205;29253;31335;32414;35009;35412;36479;38913;41789;45545;45890;52538;51202;49766;51678;54775
Lajeado do Bugre;;;4;5;18;22;22;24;30;40;39;28;28;37;35;39;31;35;37;32;37;79;49;50;38;31;27;25
Lavras do Sul;486;446;478;465;508;538;583;617;670;688;733;758;702;739;757;749;809;869;883;929;1069;1125;1016;1235;1140;1133;1132;1188
Liberato Salzano;310;299;300;307;298;369;433;422;434;406;351;380;411;419;432;422;441;440;496;519;543;574;623;611;612;595;700;726
Lindolfo Collor;;;169;220;246;284;324;343;410;484;479;496;655;912;755;768;797;820;665;674;740;743;750;972;1144;1203;1293;1253
Linha Nova;;;40;52;50;53;60;73;76;76;81;80;100;121;124;129;149;110;102;136;147;163;159;163;150;145;156;206
Maçambará;;;;;;;140;181;225;226;229;240;247;300;357;335;292;306;315;366;338;366;352;386;400;494;496;508
Machadinho;279;265;257;243;276;283;320;324;354;435;461;445;466;447;470;508;601;963;793;782;793;899;860;912;906;913;1024;1052
Mampituba;;;;;;;41;74;88;101;92;95;93;97;89;98;108;114;132;149;173;178;197;252;258;256;259;238
Manoel Viana;;;219;296;302;305;313;367;423;454;459;485;528;673;729;796;803;846;878;867;848;1007;1077;1186;1174;1159;1017;960
Maquiné;;;201;292;348;371;426;497;573;662;641;684;811;811;943;991;999;981;992;1051;1123;1130;1066;1317;1145;1112;1150;1151
Maratá;;;76;81;103;130;142;109;170;179;200;224;223;276;267;295;332;349;340;327;360;455;418;457;448;430;451;426
Marau;2553;2745;3063;3327;3822;4331;5026;5579;6374;6842;7266;7372;7653;8139;8352;8880;9857;12070;14144;11864;12660;13295;14023;15050;14197;13965;13548;13334
Marcelino Ramos;597;578;594;589;652;717;814;893;896;853;955;1050;1013;960;897;899;1067;1132;1237;1263;1298;1434;1452;1598;1508;1514;1550;1554
Mariana Pimentel;;;84;81;94;91;125;146;156;200;200;207;232;247;270;283;293;277;292;293;299;363;335;407;402;384;423;387
Mariano Moro;95;104;119;110;122;132;157;184;221;242;223;212;202;184;190;182;181;198;211;223;242;269;271;276;264;264;267;266
Mata;242;194;199;209;233;244;270;295;336;360;368;351;370;395;422;484;443;458;518;569;592;629;633;731;657;594;620;657
Mato Leitão;;;186;219;240;320;394;393;553;616;648;683;605;485;560;599;666;703;747;731;783;818;803;1031;1066;1042;1086;1144
Maximiliano de Almeida;228;241;243;240;260;271;287;353;363;411;502;537;529;517;533;597;645;640;702;721;739;784;811;865;965;870;898;872
Minas do Leão;;;313;355;406;463;520;565;617;660;676;698;689;761;829;846;901;960;928;966;1051;1141;1029;1230;1206;1206;1242;1225
Miraguaí;252;234;235;241;282;289;280;302;311;430;502;448;421;379;347;363;346;360;384;454;579;592;728;888;972;1149;1227;1340
Montauri;42;48;54;53;59;72;81;82;79;97;122;144;147;132;120;90;111;129;159;183;197;210;250;280;288;280;299;284
Monte Alegre dos Campos;;;;;;;37;51;57;54;50;69;73;86;85;114;110;121;123;123;141;150;161;155;149;164;178;194
Monte Belo do Sul;;;89;85;103;123;122;136;161;179;198;214;224;225;259;275;304;318;415;347;380;398;384;405;396;387;400;388
Montenegro;6822;7025;7320;7682;8962;10011;10619;11255;12257;13008;13840;13848;14351;15231;16094;17213;19029;19582;20536;21659;22946;24724;25065;27615;26810;27007;30165;30209
Mormaço;;;22;30;40;41;50;59;56;64;73;78;83;102;121;105;84;87;123;123;237;637;477;686;527;453;399;479
Morrinhos do Sul;;;121;136;169;199;235;246;278;337;213;217;210;207;200;185;183;215;243;242;282;310;287;345;359;383;393;400
Morro Redondo;326;361;369;397;425;424;472;352;292;354;320;326;304;301;288;301;374;408;465;542;550;568;583;622;612;606;581;565
Morro Reuter;;;487;578;593;730;857;894;733;753;865;857;1046;1134;1386;1355;1418;1464;1541;1639;1696;1760;1727;1869;1689;1890;1696;1603
Mostardas;619;681;740;683;837;909;971;1000;1105;1208;1249;1270;1281;1352;1413;1470;1624;1660;1713;1829;1854;2174;2169;2607;2512;2362;2631;2341
Muçum;591;639;640;725;820;872;745;785;892;813;944;1023;954;971;1004;1058;1150;1153;1244;1241;1277;1271;1270;1372;1229;1183;1125;1110
Muitos Capões;;;;;;;62;50;42;37;71;78;75;98;107;154;169;287;747;713;445;896;910;1116;1275;869;445;434
Muliterno;;;;;;;;;;5;4;6;5;3;2;3;3;3;4;2;3;3;3;4;3;5;6;6
NãoMeToque;1289;1486;1620;1689;1765;1903;2094;2571;2634;2888;3020;3205;3550;3784;3765;3733;4859;5584;5921;6136;6731;7877;8108;8662;8806;8249;8390;8296
Nonoai;1108;1119;1172;1201;1310;1334;1441;1603;1689;1795;1863;1893;1817;1851;1825;1930;2352;2511;2669;2663;2797;2906;2988;3195;3146;3333;3464;3227
Nova Alvorada;;;23;32;28;40;43;43;43;53;56;60;56;53;57;62;57;55;51;60;84;76;90;87;89;104;118;116
Nova Araçá;181;188;200;228;267;352;388;432;420;449;498;537;489;509;503;546;889;1013;919;1112;1191;1415;1548;1750;1680;1685;1556;1411
Nova Bassano;634;536;572;612;688;785;881;995;1074;1179;1298;1374;1326;1299;1363;1400;1645;1797;2055;2239;2256;4207;4202;2876;2767;2780;2658;2690
Nova Boa Vista;;;52;92;102;141;143;154;153;99;113;130;140;146;165;136;139;152;152;155;178;253;316;352;381;373;394;382
Nova Bréscia;259;244;250;280;331;372;417;420;416;441;470;466;440;487;524;503;591;572;611;623;617;692;678;691;649;661;713;721
Nova Candelária;;;;;;;174;206;214;232;268;300;288;295;281;297;332;353;452;520;555;662;630;568;605;575;573;504
Nova Esperança do Sul;202;144;100;103;116;132;158;182;251;283;276;357;458;481;542;613;647;684;748;762;762;820;798;919;924;852;838;841
Nova Hartz;514;558;675;743;774;911;1231;1281;1475;1671;1817;1959;1988;2088;2201;2268;2571;2901;3259;3257;4002;4728;4709;4815;4379;4448;4554;3976
Nova Pádua;;;134;140;205;229;261;322;317;366;348;365;388;354;351;398;449;460;475;492;531;746;924;996;992;1044;1185;1090
Nova Palma;;;1;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Nova Petrópolis;2425;2518;2280;2368;2665;3156;3540;4290;4586;4955;4814;5008;5156;5603;5445;5499;5789;6675;7133;7582;8246;10059;11314;12090;11714;11599;11976;12073
Nova Prata;2213;2435;2341;2200;2743;2924;3772;4153;4493;5290;5352;4952;4940;5259;5424;5461;5979;6561;6981;7149;7518;8264;8628;9503;9593;9369;9242;9104
Nova Roma do Sul;146;149;156;177;189;275;345;363;360;420;419;423;433;483;537;574;620;614;607;1193;1541;1288;1111;879;856;799;776;706
Nova Santa Rita;;;1225;1393;1507;1326;1551;1764;1926;2695;2452;2865;2890;3004;2995;3296;3455;3677;4849;6352;7469;10670;11873;14822;18235;20932;20571;21649
Novo Barreiro;;;61;89;94;104;112;126;147;190;211;174;166;186;176;180;236;275;270;376;462;495;463;559;648;630;664;711
Novo Cabrais;;;;;;;;11;18;78;74;79;69;99;124;112;118;110;109;115;132;164;141;166;158;149;143;184
Novo Hamburgo;45421;53237;56603;59136;66200;75833;81071;82989;89264;95291;102242;111197;117846;120547;125640;127562;134445;136582;137302;142995;151452;163341;163142;180647;166992;156400;156402;151640
Novo Machado;;;197;258;260;294;289;305;311;305;325;327;375;393;400;401;384;380;415;395;480;541;536;628;613;595;661;656
Novo Xingu;;;;;;;;;;;71;96;97;108;119;107;125;135;159;184;185;197;188;196;187;188;188;194
Osório;6583;7231;7251;7250;8198;8954;9924;10633;11206;11739;11734;11853;12236;12707;13391;13607;14573;15468;16412;17593;19191;21764;20973;24988;24372;23261;24016;23940
Paim Filho;221;238;249;253;273;285;297;372;349;395;396;380;382;367;578;593;597;585;636;698;719;730;761;800;702;666;693;744
Palmares do Sul;1579;1736;1667;1728;2002;2211;2325;2224;2411;2317;2508;2282;2328;2314;2342;2513;2634;2728;2813;2951;3622;3705;3677;4288;4072;3800;4093;4035
Palmeira das Missões;4150;4330;4196;4463;5084;5020;5979;6063;5940;6364;6245;5847;5972;6051;6111;6608;7414;7809;8065;8528;9184;9356;9392;10229;9647;9014;9255;8756
Palmitinho;330;377;366;374;394;452;515;507;658;772;817;788;837;892;882;916;1017;996;1105;1078;1217;1315;1360;1623;1524;1383;1514;1545
Panambi;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Pantano Grande;1163;1337;1389;1486;1613;1713;1912;1796;1950;2233;2180;2047;2155;2270;2389;2203;2285;2344;2371;2428;2676;2898;2715;3125;3013;2933;3015;3138
Paraí;298;324;350;415;485;601;719;865;886;913;1011;1113;1106;1017;1030;1405;1373;1438;1586;1640;1783;2090;2327;2881;2889;2932;2819;2665
Paraíso do Sul;86;96;103;109;125;127;153;147;165;198;201;222;180;177;184;172;172;175;166;162;181;167;175;203;173;235;181;168
Pareci Novo;;;176;217;281;372;434;492;443;532;564;658;549;563;617;630;726;782;958;980;1067;1334;1341;1430;1405;1359;1349;1429
Parobé;1756;1846;2224;2684;3075;3734;4491;4757;5182;5626;6065;6420;6573;6693;6772;7074;8368;8476;9548;10094;10922;11852;12174;13598;12799;11832;11727;11522
Passa Sete;;;;;;;76;77;132;168;144;163;192;191;174;172;173;187;213;231;293;283;295;321;317;301;308;272
Passo do Sobrado;;;182;211;236;291;282;290;341;329;337;345;320;330;313;326;421;506;559;627;639;684;665;768;729;719;793;655
Passo Fundo;32673;34151;36307;37619;41222;44635;49167;52885;58098;66575;64999;65813;67231;69996;76214;75278;84835;90527;96457;97352;103520;111922;115249;124756;120766;117880;115433;114616
Paulo Bento;;;;;;;;;;;109;98;126;147;176;181;195;208;204;208;228;232;235;234;265;263;266;284
Paverama;207;212;235;244;290;356;420;367;386;410;467;507;541;597;633;639;791;817;855;906;895;926;982;1017;958;957;924;866
Pedras Altas;;;;;;;;;;;4;61;65;56;84;73;77;85;82;96;195;138;135;138;143;163;202;159
Pedro Osório;689;730;691;701;675;784;695;649;674;748;760;778;787;889;846;842;941;977;957;1007;1045;1107;1067;1281;1373;1359;1401;1503
Pejuçara;273;277;304;310;342;406;444;507;507;546;563;535;591;646;750;747;796;808;902;863;963;1014;1045;1051;1076;1035;1152;1062
Pelotas;49727;52108;54586;56283;62546;66271;71062;72496;75560;79937;80532;81197;78310;83257;86258;88435;95738;98978;104772;111391;123861;132173;121514;148872;146568;139449;130377;129310
Picada Café;;;324;367;420;467;563;641;674;793;861;902;923;870;899;990;1145;1330;1377;1423;1606;1806;1865;1932;1905;1941;1799;1798
Pinhal da Serra;;;;;;;;;;;69;118;124;121;163;157;171;188;254;173;189;185;184;177;235;260;251;213
Pinhal Grande;;;82;104;121;144;167;180;192;199;215;241;249;250;272;317;443;454;463;428;482;508;538;554;554;581;580;558
Pinheirinho do Vale;;;41;60;83;112;123;132;139;165;188;216;221;210;229;262;274;355;419;449;500;522;495;513;492;511;513;494
Pinheiro Machado;903;874;810;733;743;813;904;909;944;1047;1066;1115;1051;1054;1113;1160;1292;1373;1507;1553;1721;1745;1666;1965;1940;1952;1965;1947
Pinto Bandeira;;;;;;;;;;;;;;;;;;;;;;;364;391;377;455;418;429
Pirapó;100;74;77;72;81;98;102;111;111;119;126;118;120;147;139;161;186;198;206;210;220;249;239;258;261;404;367;367
Piratini;499;567;639;664;746;817;845;839;891;953;1368;1027;1129;1203;1133;1233;1369;1424;1535;1723;1880;1984;1836;2172;2244;2295;2327;2398
Planalto;803;841;831;828;857;848;889;1001;1070;1291;1367;1416;1374;1376;1426;1387;1444;1475;1558;1598;1606;1776;1899;2108;2175;1895;2249;2323
Poço das Antas;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Ponte Preta;;;44;54;58;52;56;66;67;74;85;67;81;105;103;117;126;142;150;152;155;166;402;223;204;202;238;209
Portão;2534;2671;2901;2514;2998;3177;3395;3499;3791;4099;4481;4641;4817;5089;5115;5363;5925;7244;7358;7724;7994;8645;9274;9958;9192;8942;9769;9532
Porto Alegre;644589;667138;696171;725179;789672;832825;884868;908482;948750;1015465;1035036;1046979;1076848;1099178;1148202;1162597;1232667;1260350;1324631;1368197;1486772;1590952;1418961;1644144;1546463;1303121;1151247;1097334
Porto Lucena;502;512;451;409;432;462;493;514;536;554;513;493;491;521;602;634;674;684;704;800;830;838;876;952;955;963;969;916
Porto Mauá;;;196;217;216;220;242;262;294;320;342;334;343;360;364;354;355;364;405;384;402;420;407;386;390;401;386;389
Porto Vera Cruz;;;94;116;111;104;68;69;85;103;93;112;97;97;96;102;106;109;119;160;177;185;187;205;197;165;174;171
Porto Xavier;782;823;842;895;904;1010;1136;1345;1440;1434;1502;1446;1382;1392;1451;1434;1610;1741;1771;1782;1825;1963;1963;2067;2093;2009;1945;1990
Presidente Lucena;;;109;210;188;210;243;309;409;475;553;526;448;448;447;459;466;520;672;799;784;705;708;867;681;664;642;681
Protásio Alves;38;44;45;47;52;68;88;93;88;94;107;127;124;129;128;131;132;145;167;164;208;258;265;279;286;278;286;294
Putinga;144;;;;;;;;;;;;;;;;;;;;0;0;223;816;761;759;711;681
Quaraí;2046;2400;2557;2485;2566;2731;2801;2959;3423;3979;3705;3790;3695;3658;3677;3764;3187;3392;3674;4010;4278;4602;4509;4983;4776;4793;4787;5679
Quatro Irmãos;;;;;;;;;;;63;65;57;75;72;91;102;105;129;149;231;240;285;307;307;320;360;308
Quevedos;;;12;15;24;39;46;39;53;49;42;68;70;95;112;87;85;105;124;151;151;167;146;172;192;210;259;243
Quinze de Novembro;149;117;137;173;179;204;234;251;282;302;316;335;355;366;385;385;381;429;459;496;516;575;618;752;1096;1025;1043;1041
Redentora;272;269;301;291;312;303;323;348;381;374;362;357;376;420;384;393;422;479;515;572;540;787;843;1118;1188;996;1049;1084
Relvado;187;109;125;141;160;171;204;213;217;209;246;234;236;243;255;262;301;299;324;337;372;373;310;345;338;324;334;335
Restinga Sêca;2;3;4;;;;;;3;3;;;8;6;5;15;5;4;14;7;8;4;7;13;18;18;19;21
Rio dos Índios;;;32;54;60;54;55;54;59;81;88;90;98;89;104;127;143;176;174;192;220;211;222;245;264;242;382;417
Rio Grande;33098;32328;33116;30842;34726;35826;40410;43690;43784;47628;54691;54730;60435;65709;66673;70728;76397;81428;85004;88256;95596;107894;106985;123200;119818;115546;93401;91950
Rio Pardo;3970;3954;4108;4026;4195;4189;4166;4306;4560;5158;5138;5218;5155;5588;6190;6281;6751;7319;6502;6764;6952;7388;7001;7543;6969;7296;7538;7383
Riozinho;96;111;119;121;147;164;193;254;342;377;412;442;441;459;469;502;538;567;588;572;748;845;958;1065;1194;1352;1331;1293
Roca Sales;600;687;628;761;864;1056;1202;1204;1308;1472;1490;1487;1449;1551;1740;1900;1998;2080;2147;2364;2644;2836;2700;2756;2681;2634;2756;2731
Rolador;;;;;;;;;;;3;3;3;4;4;5;4;4;4;4;4;5;4;4;5;5;4;5
Rolante;959;1042;1145;1197;1300;1442;1743;1948;2192;2525;2585;2788;2824;2861;3231;3321;3692;3838;4469;4942;5180;5709;5788;6295;6109;6083;6060;5865
Ronda Alta;815;834;841;838;902;959;1075;1120;1096;1276;1299;1219;1392;1437;1411;1405;1155;1491;1584;1603;1735;2000;2072;2228;2122;2200;2290;2135
Rondinha;422;430;447;488;509;570;620;664;604;570;520;539;562;569;616;624;633;702;779;789;818;837;877;947;948;928;887;991
Roque Gonzales;484;406;481;469;493;482;533;531;540;549;587;552;599;591;629;649;738;861;917;887;1013;1637;927;979;954;913;889;911
Rosário do Sul;3669;3774;4038;3995;4376;4694;5169;5222;5564;5846;5899;6003;6032;6207;6277;6354;6745;7565;7925;8098;9070;9551;9461;10007;9675;9370;9574;10499
Sagrada Família;;;36;41;111;97;103;115;102;117;101;90;95;85;84;95;103;119;162;181;186;211;220;327;439;363;446;428
Saldanha Marinho;235;216;224;224;240;252;334;358;358;374;387;407;370;396;407;405;433;428;471;453;470;516;528;543;581;633;594;540
Salto do Jacuí;619;732;843;954;1123;1216;1323;1483;1783;1851;1784;1833;1997;2058;2026;1946;2438;2637;2734;2837;2838;2961;2895;3002;2787;2852;2789;2678
Salvador das Missões;;;139;178;195;203;230;264;268;268;323;230;198;202;193;293;629;518;562;642;629;645;636;699;710;702;732;692
Salvador do Sul;14;23;99;95;101;61;78;65;75;74;100;87;32;20;21;18;17;21;22;28;32;32;31;34;35;32;27;25
Sananduva;1235;1332;1421;1530;1638;1780;1901;2099;2215;2376;2491;2584;2709;2777;2831;2945;3584;4018;4441;4401;4829;5527;5981;5621;5516;5283;5112;4872
Santa Bárbara do Sul;880;905;955;966;1134;1119;1218;1260;1348;1385;1415;1376;1528;1719;2086;2016;2316;2466;2515;2677;3211;3309;3562;3954;4004;3635;4136;3900
Santa Clara do Sul;;;;;;;;;1;1;;;;;2;2;1;1;2;1;1;1;1;2;2;1;1;1
Santa Cruz do Sul;18378;19614;20675;21685;24638;27543;32992;35504;39703;42754;44383;45125;46675;49280;51689;53149;55443;56793;59332;61502;67185;70523;68952;74602;70463;68887;69248;69527
Santa Margarida do Sul;;;;;;;;;;;;2;279;45;109;294;14;142;407;36;23;25;32;28;31;32;96;32
Santa Maria;39238;39350;40409;42321;48256;54693;61347;63046;69514;76104;77131;78933;80417;82584;87030;92704;99561;103800;107379;113483;119998;128769;127949;143006;133812;131011;136557;145416
Santa Maria do Herval;259;245;298;305;363;404;462;511;554;662;707;794;880;893;874;871;921;977;991;1044;1171;1206;1378;2010;1689;1571;1547;1454
Santa Rosa;10522;10895;11656;12201;12883;13604;14283;14914;16215;16742;17040;17533;17846;18451;19631;20222;22163;23992;26020;27184;29405;32786;34327;38695;36559;35588;33984;34264
Santa Tereza;;;75;95;109;124;131;131;145;163;151;132;151;155;164;156;155;162;187;197;389;439;455;722;667;325;298;277
Santa Vitória do Palmar;6032;7015;7385;7210;6548;5851;3466;2893;3225;3494;3342;3264;2349;3708;3799;3791;4006;9141;4778;6403;6840;6797;6724;8041;7909;7883;7573;7734
Santana da Boa Vista;247;283;316;320;404;407;435;465;453;523;569;486;455;443;443;473;483;490;530;545;574;566;581;557;523;483;470;441
Santana do Livramento;12172;12828;13393;12833;13986;14068;14793;15699;17848;20024;20514;20254;18085;19136;19813;20022;20287;20591;20598;21200;22713;24506;24945;26505;25005;24856;25020;26085
Santiago;4309;4653;4916;4779;5277;5581;5774;6186;7105;7795;7981;8065;8390;8902;9222;9318;9928;10272;10611;11339;11944;12778;12819;14252;13636;13552;13484;13684
Santo Ângelo;14113;14157;14706;15241;16191;16966;18439;18997;19894;20138;19927;20405;20568;21123;21243;21722;23099;24406;26392;27037;29898;32683;33119;35665;33541;32572;32320;32534
Santo Antônio da Patrulha;3078;3040;3014;3135;3509;3650;4180;4830;5465;5884;6307;6610;6819;7305;8201;8307;8934;4872;9593;9860;11050;12067;11356;14010;13608;13590;15023;14368
Santo Antônio das Missões;29;27;27;31;34;28;15;20;26;29;35;44;49;48;48;54;62;63;49;59;65;72;66;57;13;37;108;93
Santo Antônio do Palma;;;34;60;74;75;86;108;107;157;182;177;164;177;192;204;216;232;827;976;1016;1057;1122;645;437;399;479;545
Santo Augusto;2131;2144;2209;2176;2209;2326;2508;2690;2607;2773;2651;2688;2787;2943;2780;2965;3339;3331;3489;3856;4284;5085;4869;5372;5424;5278;5418;5568
Santo Cristo;1367;1427;1610;1602;1705;1760;1916;2085;2063;2149;2315;2440;2500;2626;2615;2696;3129;3435;3278;3264;3591;3811;3710;4077;3949;4061;4180;4178
Santo Expedito do Sul;;;9;7;18;39;33;48;51;24;17;18;20;21;23;16;17;17;16;15;15;13;14;15;16;16;18;17
São Borja;8341;8394;8156;8411;9642;9336;9817;10751;11403;12356;11814;11577;11735;12374;12214;12456;12829;13461;14380;14929;16184;16807;15879;16875;15714;16450;16369;16163
São Domingos do Sul;95;106;97;91;116;127;143;139;158;172;179;181;176;175;179;216;247;222;221;237;268;289;312;350;387;406;437;401
São Francisco de Assis;1547;1562;1368;1269;1321;1382;1512;1410;1534;1791;1522;1573;1677;1814;1810;1884;1959;2174;2280;2434;2563;2646;2917;3337;3196;3190;2884;3139
São Francisco de Paula;1878;1596;1861;1912;2120;2046;2582;2782;3030;3042;2976;3242;3188;3215;3379;3700;4151;4599;4966;5256;5741;5886;5775;6101;6065;5643;5566;5532
São Gabriel;5418;5563;6159;6333;6756;7179;8010;8249;8695;9590;9376;9475;9399;9569;10049;10266;10995;11298;12033;12968;13985;14843;15171;16464;15593;15713;15491;16117
São Jerônimo;2321;2374;2430;2326;2790;3058;3353;3594;3569;3870;3943;3760;3931;3967;4276;4393;4713;1579;5072;5222;6020;6250;5725;7656;7448;7278;7379;7426
São João da Urtiga;155;177;191;200;231;261;272;282;285;365;405;402;430;414;458;488;570;596;560;568;629;751;817;886;833;856;900;873
São João do Polêsine;;;;;;;;;;;;;;;;;1;4;4;1;1;7;5;3;1;1;1;5
São Jorge;153;149;143;143;187;220;231;280;325;296;317;318;356;315;312;383;464;432;413;436;461;443;477;492;493;486;482;477
São José das Missões;;;68;96;107;124;98;134;149;152;113;141;106;114;121;133;151;194;184;209;210;240;248;283;272;264;228;334
