variavel: Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;ibge;latitude;longitude;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Coqueiro Baixo;4305835;-29,1722;-52,0989;-;-;-;-;-;-;-;-;-;-;-;95;362;317;436;506;547;600;645;689;735;786;781;881;835;858;958;971
Coronel Bicaco;4305900;-27,7197;-53,7022;1.394;1.422;1.455;1.548;1.558;1.571;1.605;1.778;2.038;2.305;2.228;2.306;1.969;2.682;2.879;2.625;2.609;3.277;3.396;2.653;2.136;2.328;2.239;2.446;2.099;2.412;2.836;2.894
Coronel Pilar;4305934;-29,2684;-51,6879;-;-;-;-;-;-;-;-;-;-;1.392;1.543;945;689;751;824;837;878;923;936;915;960;943;1.003;983;1.014;1.048;1.086
Cotiporã;4305959;-28,9891;-51,6971;953;946;1.000;1.083;1.155;1.228;1.283;1.372;1.411;1.475;1.704;2.052;1.915;2.062;2.245;2.376;2.458;2.599;2.615;2.650;3.087;3.193;2.873;3.049;2.751;2.709;2.595;2.397
Coxilha;4305975;-28,128;-52,3023;-;-;555;1.090;1.290;1.284;1.230;1.269;1.576;915;898;940;845;993;1.111;1.088;1.094;1.269;1.268;1.074;1.277;1.386;1.429;1.525;1.405;1.552;1.665;1.727
Crissiumal;4306007;-27,4999;-54,0994;3.866;4.052;4.260;4.565;4.657;4.932;4.849;5.150;5.279;5.724;5.750;6.004;5.803;5.977;6.212;6.507;6.787;6.769;7.120;7.183;7.350;7.807;7.892;8.504;8.335;8.311;8.831;9.031
Cristal;4306056;-31,0046;-52,0436;990;1.814;1.987;2.046;2.406;1.823;2.177;2.235;3.811;4.967;4.307;3.440;3.459;4.263;4.903;4.759;4.255;5.214;4.744;4.481;5.166;5.444;5.154;5.896;5.334;5.819;6.105;6.273
Cristal do Sul;4306072;-27,452;-53,2422;-;-;-;-;-;-;-;-;-;-;-;-;13;32;35;34;237;290;310;304;316;343;337;350;359;348;373;395
Cruz Alta;4306106;-28,645;-53,6048;6.387;7.266;7.334;8.610;8.949;9.699;10.902;11.746;11.050;12.138;13.105;14.213;14.908;17.872;21.506;20.246;20.662;23.733;25.028;6.228;1.282;1.735;1.275;2.063;1.588;1.863;2.060;1.972
Cruzaltense;4306130;-27,6644;-52,6492;-;-;-;-;-;-;-;-;-;-;2.792;2.987;3.000;2.517;1.321;2.284;2.713;1.399;2.100;1.560;1.054;1.217;1.146;1.236;1.256;1.232;1.277;1.320
Cruzeiro do Sul;4306205;-29,5148;-51,9928;3.382;3.252;3.223;3.506;3.844;3.744;4.060;4.100;4.564;4.583;5.323;5.787;5.472;5.156;5.895;6.207;6.778;7.195;7.315;7.857;8.119;8.600;8.376;8.502;8.041;8.143;8.647;9.023
David Canabarro;4306304;-28,3849;-51,8482;268;319;305;324;348;357;396;417;434;479;540;581;530;589;596;621;682;756;807;802;855;898;830;811;810;889;961;1.009
Derrubadas;4306320;-27,2642;-53,8645;-;-;872;1.246;1.260;1.384;1.467;1.543;1.565;1.517;1.662;1.655;1.609;1.657;1.755;1.825;1.912;1.953;1.939;1.978;2.092;2.085;2.112;2.261;2.188;2.148;2.195;2.173
Dezesseis de Novembro;4306353;-28,219;-55,0617;686;875;861;1.043;1.029;1.192;1.281;1.320;1.498;1.435;1.531;1.449;1.585;1.672;1.703;1.711;1.786;1.811;1.844;1.076;617;709;715;912;822;816;831;942
Dilermando de Aguiar;4306379;-29,7054;-54,2122;-;-;-;-;-;-;1.067;1.018;1.244;1.291;1.440;1.614;1.554;1.449;1.598;1.780;1.800;1.844;1.899;1.849;2.008;2.163;2.094;2.300;1.942;2.105;2.310;2.539
Dois Irmãos;4306403;-29,5836;-51,0898;1.641;1.650;1.009;893;866;935;990;1.017;1.104;1.098;1.180;1.173;1.197;1.127;1.178;1.209;1.248;1.340;1.392;1.368;1.402;1.495;1.496;1.618;1.478;1.505;1.593;1.621
Dois Irmãos das Missões;4306429;-27,6621;-53,5304;-;-;321;10.680;14.422;16.848;18.689;17.987;14.709;8.643;9.229;10.486;12.754;15.239;16.757;17.695;15.295;17.699;17.438;9.850;2.574;2.853;2.572;3.056;1.994;2.739;3.244;3.073
Dois Lajeados;4306452;-28,983;-51,8396;1.665;1.608;866;844;902;1.119;1.231;1.303;1.299;1.475;1.518;1.663;1.746;1.861;2.014;17.934;17.526;11.525;7.940;8.088;7.459;7.096;7.058;7.753;8.026;8.355;8.312;7.452
Dom Feliciano;4306502;-30,7004;-52,1026;587;786;910;971;1.099;1.253;1.510;1.744;2.126;2.557;3.063;3.546;4.035;4.868;5.212;5.123;5.158;5.598;5.996;6.031;6.795;7.191;7.753;9.135;8.989;9.090;11.030;10.589
Dom Pedrito;4306601;-30,9756;-54,6694;4.793;4.983;5.513;5.973;7.821;7.246;6.295;6.422;9.299;8.382;8.382;8.500;8.843;12.561;14.721;15.760;11.921;18.373;17.807;18.873;21.921;22.621;17.459;20.459;21.277;23.172;21.248;26.111
Dom Pedro de Alcântara;4306551;-29,3639;-49,853;-;-;-;-;-;-;478;911;993;1.162;1.162;1.275;1.357;1.395;1.500;1.539;1.631;1.712;1.827;1.924;3.522;2.060;6.405;2.217;2.219;2.245;2.478;2.659
Doutor Maurício Cardoso;4306734;-27,5103;-54,3578;1.381;1.453;1.512;1.622;1.653;1.832;1.916;2.014;2.020;2.112;2.006;1.981;1.939;1.935;2.063;2.226;2.284;2.269;2.434;2.436;2.429;2.548;2.452;2.515;2.479;2.495;2.483;2.462
Doutor Ricardo;4306759;-29,084;-51,9971;-;-;-;-;-;-;856;1.062;1.231;1.241;1.517;1.437;1.366;1.427;1.645;1.800;1.923;1.905;1.922;1.891;1.937;1.921;1.868;1.939;1.716;1.634;1.787;1.764
Eldorado do Sul;4306767;-30,0847;-51,6187;6.350;3.975;3.947;4.420;4.656;4.654;5.046;4.023;3.998;3.667;3.512;3.477;3.329;4.246;6.290;6.546;6.406;6.205;4.920;5.883;6.424;6.775;6.351;6.949;6.287;6.408;6.831;6.633
Encantado;4306809;-29,2351;-51,8703;3.084;3.281;3.375;3.555;3.794;3.496;2.616;3.331;3.630;3.340;3.428;2.567;2.433;2.570;3.199;3.487;3.831;3.874;3.992;4.371;4.529;4.739;4.649;4.976;4.650;4.751;5.092;5.254
Encruzilhada do Sul;4306908;-30,543;-52,5204;1.661;1.690;1.827;1.854;2.126;2.259;2.696;2.857;3.411;3.933;4.315;4.398;4.599;4.829;5.183;5.593;5.768;6.081;6.172;6.584;7.348;7.554;7.497;7.706;7.483;7.539;8.246;8.560
Engenho Velho;4306924;-27,706;-52,9145;-;-;384;687;700;722;754;757;787;879;873;828;701;696;612;525;536;527;551;567;571;579;592;611;638;637;657;635
Entre Rios do Sul;4306957;-27,5298;-52,7347;640;645;702;752;760;856;899;914;887;910;979;994;1.023;1.059;1.107;1.154;1.186;1.153;1.289;1.011;765;771;595;431;452;531;594;575
Entre-ijuís;4306932;-28,3686;-54,2686;8.178;8.306;9.398;10.161;10.412;11.776;12.649;12.813;15.195;4.151;1.893;4.284;5.457;5.346;7.862;6.905;4.924;7.984;11.905;2.258;526;520;526;570;547;700;670;643
Erebango;4306973;-27,8544;-52,3005;121;204;252;243;296;299;322;347;347;383;376;401;476;651;657;701;758;776;778;852;921;615;610;618;716;596;644;702
Erechim;4307005;-27,6364;-52,2697;4.129;4.159;4.493;4.484;4.681;5.236;5.874;6.172;6.330;6.733;4.857;4.874;4.365;4.463;4.576;5.251;5.779;5.905;5.991;5.854;5.926;5.977;6.090;6.252;5.948;5.944;6.306;6.577
Ernestina;4307054;-28,4977;-52,5836;2.414;2.750;2.835;2.843;3.539;3.653;4.060;4.417;4.668;5.053;5.470;1.869;377;100;1.490;110;1.655;2.159;2.647;146;114;123;131;135;121;123;121;118
Erval Grande;4307203;-27,3926;-52,574;4.468;1.151;1.145;1.233;1.322;1.475;1.641;1.756;1.829;1.995;2.074;2.174;2.111;2.100;2.281;2.397;2.605;2.696;2.748;2.254;1.844;1.957;1.978;2.149;2.262;2.181;2.336;2.395
Erval Seco;4307302;-27,5443;-53,5005;1.324;1.291;1.033;1.111;1.111;1.270;1.385;1.379;1.481;1.831;1.802;1.927;1.915;2.109;2.268;2.398;2.618;2.958;3.002;3.077;3.299;3.393;3.376;3.598;3.585;3.579;3.868;4.024
Esmeralda;4307401;-28,0518;-51,1933;392;439;489;525;548;539;563;645;754;879;519;591;619;674;691;804;925;947;908;980;1.112;1.118;977;983;823;1.027;1.090;1.147
Esperança do Sul;4307450;-27,3603;-53,9891;-;-;-;-;-;-;1.412;1.619;1.646;1.800;1.774;1.852;1.826;1.823;1.979;2.067;2.177;2.201;2.230;2.209;2.182;2.297;2.300;2.399;2.403;2.279;2.353;2.432
Espumoso;4307500;-28,7286;-52,8461;7.878;8.668;9.308;9.249;11.556;12.325;13.954;14.820;15.508;16.430;8.395;78;56;56;66;70;80;253;212;297;329;374;356;365;166;280;475;445
Estação;4307559;-27,9135;-52,2635;3.255;3.431;3.580;3.897;3.914;4.416;4.882;5.096;5.134;4.122;2.674;3.106;3.593;4.621;4.729;6.417;7.450;7.595;7.137;3.820;646;644;679;752;880;916;1.050;1.045
Estância Velha;4307609;-29,6535;-51,1843;4.043;540;504;413;433;461;385;379;516;459;462;438;433;412;477;488;557;557;573;598;608;648;658;675;520;563;609;684
Esteio;4307708;-29,852;-51,1841;463;233;267;236;263;202;195;322;307;207;335;276;323;476;428;559;395;356;274;212;287;202;111;146;89;121;116;156
Estrela;4307807;-29,5016;-51,9605;4.339;4.446;3.811;4.032;4.111;5.018;5.760;6.064;6.235;6.217;7.554;7.655;8.380;8.722;9.527;9.857;10.514;11.996;13.643;14.656;16.317;17.874;16.572;13.809;13.188;14.079;14.901;15.429
Estrela Velha;4307815;-29,1713;-53,1639;-;-;-;-;-;-;-;...;9;83;20;22;20;29;28;30;33;38;1.204;4.875;5.456;6.052;6.049;5.530;6.910;6.575;6.749;6.965
Eugênio de Castro;4307831;-28,5315;-54,1506;642;656;714;778;876;909;1.013;1.062;1.040;1.069;1.117;1.108;1.254;1.517;1.511;1.385;1.396;1.724;1.616;1.583;1.707;2.021;1.892;2.723;2.344;2.359;2.626;2.980
Fagundes Varela;4307864;-28,8794;-51,7014;727;674;794;888;898;989;1.075;1.167;1.180;1.359;1.453;1.447;1.341;1.452;1.513;1.616;1.827;1.997;2.009;2.127;2.134;2.175;2.318;2.488;2.536;2.682;2.731;2.685
Farroupilha;4307906;-29,2227;-51,3419;5.098;5.318;5.633;6.003;6.231;6.188;6.197;6.925;7.305;8.369;9.160;9.935;9.532;11.248;11.706;12.282;13.875;14.998;15.225;16.313;16.580;17.677;16.906;18.217;17.813;17.890;20.342;20.484
Faxinal do Soturno;4308003;-29,5788;-53,4484;2.051;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;-;-;0;0;0
Faxinalzinho;4308052;-27,4238;-52,6789;368;341;366;424;438;485;541;614;623;670;683;703;669;696;717;743;776;759;899;860;819;872;863;932;980;936;977;1.010
Fazenda Vilanova;4308078;-29,5885;-51,8217;-;-;-;-;-;-;624;638;24.714;8.243;939;1.065;905;922;1.064;1.057;1.069;1.144;1.191;1.296;1.290;1.363;1.428;1.480;1.533;1.619;1.576;1.556
Feliz;4308102;-29,4527;-51,3032;3.975;4.404;2.357;2.190;2.371;2.190;2.113;2.353;2.665;2.808;2.809;2.797;2.843;2.898;3.034;3.163;3.335;3.431;3.483;3.661;3.769;4.198;4.204;4.574;4.411;4.509;5.139;5.123
Flores da Cunha;4308201;-29,0262;-51,1875;6.383;6.947;6.341;6.502;6.653;6.825;7.233;7.228;8.010;8.727;8.438;9.254;8.340;9.972;10.168;10.136;10.531;11.256;11.031;10.513;10.718;10.651;10.599;11.098;10.995;11.170;12.335;12.500
Floriano Peixoto;4308250;-27,8614;-52,0838;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fontoura Xavier;4308300;-28,9816;-52,3445;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;4.977;7.070;9.822;8.742;10.022;11.243;10.218
Formigueiro;4308409;-30,0035;-53,4959;2.427;2.039;2.257;2.372;2.678;2.765;2.692;2.343;3.423;3.534;3.293;3.590;3.122;3.249;3.621;3.675;3.870;4.074;4.189;4.244;4.732;4.430;4.182;4.551;3.711;3.520;3.734;4.604
Fortaleza dos Valos;4308458;-28,7986;-53,2249;2;-;38;-;-;...;6;11;...;2;6;7;8;8;8;8;5;5;8;14;17;17;17;21;19;19;147;224
Frederico Westphalen;4308508;-27,3586;-53,3958;7.213;7.518;7.246;8.143;7.940;8.709;10.586;10.984;10.676;10.777;11.422;9.706;8.668;10.817;11.406;12.066;10.083;10.625;12.530;7.504;2.755;2.785;2.350;2.613;2.523;2.822;3.100;3.409
Garibaldi;4308607;-29,259;-51,5352;6.769;7.164;7.772;8.860;7.898;8.646;9.209;9.947;10.471;10.111;9.501;9.383;9.260;9.452;9.333;8.931;9.365;10.439;7.430;6.811;6.679;6.766;6.564;6.786;6.445;6.771;8.565;9.330
Garruchos;4308656;-28,1944;-55,6383;-;-;265;402;479;556;742;738;1.230;2.110;1.484;1.700;1.420;1.174;1.310;1.529;1.552;1.710;1.602;1.772;2.084;2.526;2.684;2.316;1.612;1.723;1.707;2.265
Gaurama;4308706;-27,5856;-52,0915;1.582;1.869;1.995;2.089;2.201;2.512;2.660;2.840;2.926;3.093;2.955;3.180;2.817;2.731;2.771;2.954;3.256;3.223;3.257;3.227;3.197;3.366;3.442;3.503;3.399;3.379;3.476;3.425
General Câmara;4308805;-29,9032;-51,7612;453;312;338;371;462;461;437;474;572;572;648;890;803;705;829;794;849;829;838;841;907;919;938;1.051;865;884;949;972
Gentil;4308854;-28,4316;-52,0337;-;-;66;72;73;82;82;98;92;111;119;138;136;146;163;176;193;188;195;172;178;187;278;294;337;395;455;396
Getúlio Vargas;4308904;-27,8911;-52,2294;885;759;828;846;1.026;1.120;1.206;1.358;1.391;1.489;1.584;1.574;1.474;1.512;1.512;1.578;1.670;1.645;1.733;1.681;1.822;1.957;2.032;2.142;2.235;2.175;2.235;2.237
Giruá;4309001;-28,0297;-54,3517;4.065;4.115;4.570;4.846;5.271;5.170;5.626;5.183;5.350;5.501;5.495;5.438;5.284;5.840;6.870;6.954;7.230;6.887;7.392;4.045;539;603;601;623;577;581;611;614
Glorinha;4309050;-29,8798;-50,7734;1.418;1.571;1.501;1.371;1.499;1.623;1.776;2.083;2.198;2.699;2.611;2.661;2.369;2.586;2.776;2.818;2.963;2.954;3.009;3.060;3.067;3.091;2.989;3.163;2.944;3.019;3.222;3.208
Gramado;4309100;-29,3733;-50,8762;1.052;1.094;1.168;1.207;1.317;1.340;1.538;1.724;1.826;2.006;2.064;2.147;1.940;2.267;2.481;2.486;2.733;2.865;2.878;2.794;2.992;3.330;3.479;3.671;3.604;3.780;4.023;4.211
Gramado dos Loureiros;4309126;-27,4429;-52,9149;-;-;202;258;290;358;356;454;499;543;586;619;626;646;637;674;727;711;869;732;764;821;796;823;780;762;811;846
Gramado Xavier;4309159;-29,2706;-52,5795;-;-;226;289;311;348;370;453;473;453;559;758;853;656;827;828;843;860;920;936;937;906;936;992;884;772;942;1.007
Gravataí;4309209;-29,9413;-50,9869;2.470;2.565;2.669;2.800;3.116;3.359;3.591;3.578;3.714;4.131;4.095;4.191;3.299;3.636;4.078;4.279;4.636;4.733;4.862;4.789;4.989;5.173;5.267;5.662;5.195;5.137;5.474;5.572
Guabiju;4309258;-28,5421;-51,6948;448;442;452;513;537;593;632;678;666;752;769;794;757;815;849;931;973;1.106;1.138;1.271;1.305;1.292;1.388;1.427;1.437;1.449;1.512;1.545
Guaíba;4309308;-30,1086;-51,3233;3.796;3.593;2.909;2.487;3.016;2.788;3.040;2.798;3.178;3.240;2.590;2.397;2.295;2.289;2.332;2.047;2.216;2.343;2.134;2.816;2.983;3.154;2.623;2.819;2.596;2.668;2.776;2.769
Guaporé;4309407;-28,8399;-51,8895;1.769;1.811;1.506;1.580;1.698;1.831;1.940;2.011;1.956;2.020;2.062;2.204;1.885;1.938;2.173;2.242;2.479;2.696;2.845;2.828;3.074;3.539;3.210;3.338;3.423;3.513;3.639;3.789
Guarani das Missões;4309506;-28,1491;-54,5629;1.665;1.722;1.859;1.922;2.072;2.172;2.287;1.997;1.962;2.126;2.198;2.285;2.354;2.455;2.519;2.662;2.789;2.918;2.923;3.124;3.230;3.384;3.358;3.541;3.462;3.437;3.569;3.726
Harmonia;4309555;-29,5456;-51,4185;828;887;876;936;1.017;941;1.022;1.212;1.375;1.393;1.734;2.902;1.767;1.641;1.759;1.830;2.030;2.094;2.183;2.451;2.480;2.632;2.848;3.643;3.591;3.962;4.286;4.605
Herval;4307104;-32,024;-53,3944;1.507;1.850;2.190;2.278;2.329;2.136;2.380;1.988;2.358;2.407;2.638;2.388;2.306;1.233;1.372;1.297;1.302;1.489;1.456;1.472;1.680;1.775;1.809;1.806;1.711;1.931;2.000;2.185
Herveiras;4309571;-29,4552;-52,6553;-;-;-;-;-;-;756;795;807;755;958;1.237;1.234;1.004;1.193;1.242;1.297;1.327;1.394;1.447;1.505;1.526;1.624;1.701;1.555;1.451;1.588;1.642
Horizontina;4309605;-27,6282;-54,3053;2.505;2.506;2.675;2.728;2.833;2.897;3.039;3.098;3.213;3.490;3.411;3.565;3.380;3.626;3.840;3.973;4.239;4.526;4.867;4.789;5.145;6.311;5.989;6.293;6.157;7.199;7.758;7.282
Hulha Negra;4309654;-31,4067;-53,8667;-;-;-;-;-;6.688;9.803;10.016;10.677;11.337;12.237;12.101;11.865;12.576;13.497;14.252;14.364;16.227;16.549;16.952;18.497;19.062;19.512;20.020;20.331;21.145;23.938;24.996
Humaitá;4309704;-27,5691;-53,9695;1.731;1.690;1.794;1.893;1.903;2.002;2.180;2.333;2.310;2.676;2.644;2.700;2.557;2.708;2.676;2.800;2.882;2.896;3.110;3.007;3.104;3.372;3.530;3.695;3.811;3.667;4.089;4.145
Ibarama;4309753;-29,4203;-53,1295;888;983;970;962;986;1.082;1.353;1.235;1.348;1.367;1.650;1.963;2.008;1.792;2.088;2.139;2.169;2.204;2.229;2.312;2.448;2.418;2.631;2.967;2.668;2.620;2.895;3.033
Ibiraiaras;4309902;-28,3741;-51,6377;1.690;1.933;2.052;2.169;2.216;2.263;2.282;2.489;2.544;2.640;2.629;2.673;2.552;2.506;2.550;2.611;2.927;3.175;3.332;3.542;3.594;3.620;3.604;3.682;3.115;3.852;3.826;3.942
Ibirapuitã;4309951;-28,6247;-52,5158;1.630;1.764;1.910;1.945;2.463;2.669;2.960;2.528;2.751;4.161;2.193;1.433;1.854;1.929;1.937;2.044;2.138;2.270;2.457;674;127;140;145;169;210;291;599;623
Ibirubá;4310009;-28,6302;-53,0961;12.823;15.092;15.178;14.241;15.127;17.019;19.925;19.371;21.034;22.116;21.811;22.552;22.135;23.237;23.255;23.216;26.208;31.476;32.845;7.350;560;675;553;794;514;468;435;462
Igrejinha;4310108;-29,5693;-50,7919;565;560;546;567;618;652;705;754;797;868;842;864;683;737;829;893;952;974;1.069;1.061;1.090;1.196;1.174;1.334;1.175;1.305;1.394;1.497
Ijuí;4310207;-28,3881;-53,92;26.735;26.970;29.022;30.541;36.661;40.750;45.329;50.141;53.898;54.695;50.544;44.773;49.062;16.593;8.585;3.825;4.294;20.273;22.873;15;4;1;1;1;1;1;0;0
Ilópolis;4310306;-28,9282;-52,1258;557;628;672;679;614;709;845;934;960;1.053;1.106;1.176;1.166;1.367;1.485;1.588;1.732;1.782;1.810;1.857;2.074;2.104;2.060;2.175;2.075;2.156;2.308;2.405
Imbé;4310330;-29,9753;-50,1281;3.512;56;68;93;60;40;46;75;77;54;54;50;11;9;16;12;13;15;18;18;21;21;33;58;61;28;43;34
Imigrante;4310363;-29,3508;-51,7747;717;715;710;749;810;873;647;702;781;808;1.022;1.089;1.283;1.451;1.566;1.634;1.748;1.729;1.900;2.041;2.119;2.434;2.671;2.321;1.534;1.621;1.634;1.648
Independência;4310405;-27,8354;-54,1886;5.129;3.879;4.302;4.609;5.130;5.253;5.064;5.839;2.401;232;81;280;88;269;1.318;1.798;1.209;1.964;1.942;638;797;5.222;1.502;1.915;1.023;2.010;9.260;11.857
Inhacorá;4310413;-27,8752;-54,015;-;-;555;670;839;681;950;1.003;1.031;1.100;1.123;1.184;1.188;612;248;16;18;602;593;24;37;42;45;37;31;39;41;41
Ipê;4310439;-28,8171;-51,2859;1.025;1.232;1.181;1.281;1.349;1.345;1.546;1.685;1.990;2.208;2.226;2.451;3.483;4.033;4.485;4.464;5.065;5.481;5.967;5.981;6.111;7.119;6.594;6.187;5.557;5.503;6.214;6.263
Ipiranga do Sul;4310462;-27,9404;-52,4271;232;247;249;268;326;332;392;570;587;675;654;697;742;798;801;850;794;737;605;642;681;708;716;738;902;876;864;875
Iraí;4310504;-27,1951;-53,2543;768;676;654;736;761;811;888;916;937;1.035;1.014;1.031;940;954;1.095;1.140;1.283;1.267;1.246;1.244;1.225;1.235;1.285;1.348;1.264;1.289;1.408;1.423
Itaara;4310538;-29,6013;-53,7725;-;-;-;-;-;-;777;754;881;854;908;734;760;728;833;931;956;969;1.133;1.153;1.267;1.344;1.436;1.492;1.285;1.286;1.369;1.474
Itacurubi;4310553;-28,7913;-55,2447;1.012;924;1.422;2.509;2.906;1.861;3.042;2.031;2.652;4.149;1.874;2.394;2.670;3.377;3.602;4.630;3.754;4.383;4.442;3.760;4.123;4.820;3.258;3.062;2.652;2.706;1.854;3.251
Itapuca;4310579;-28,7768;-52,1693;-;-;21;27;34;47;57;69;62;88;90;122;131;150;161;146;159;166;202;235;225;243;258;284;262;246;277;279
Itaqui;4310603;-29,131;-56,5515;76.141;78.889;72.906;87.279;82.686;58.252;55.705;54.665;68.757;76.915;51.628;56.554;55.236;62.740;85.981;93.411;73.448;102.884;100.011;113.016;102.527;122.991;110.511;124.729;95.663;106.721;97.782;103.092
Itati;4310652;-29,48832;-50,11358;-;-;-;-;-;-;-;-;-;-;1.197;1.317;1.295;1.339;1.395;1.429;1.459;1.484;1.585;1.635;1.647;1.710;1.766;1.891;1.793;1.858;2.033;1.969
Itatiba do Sul;4310702;-27,3846;-52,4538;1.156;1.239;1.256;1.360;1.311;1.421;1.488;1.587;1.665;1.800;1.729;1.841;1.623;1.751;1.824;1.839;1.968;1.862;1.860;1.837;1.798;1.799;1.748;1.805;1.685;1.590;1.599;1.619
Ivorá;4310751;-29,5232;-53,5842;-;-;-;-;80;324;354;383;441;463;535;613;582;433;506;522;554;563;586;565;598;662;709;759;720;711;736;738
Ivoti;4310801;-29,5995;-51,1533;2.016;1.470;685;664;748;719;906;976;1.347;1.281;1.416;1.469;1.358;1.338;1.553;1.543;1.563;1.591;1.622;1.648;1.705;1.794;1.852;2.004;1.837;1.891;1.982;2.058
Jacutinga;4310900;-27,7291;-52,5372;1.383;1.546;1.093;1.014;987;1.103;1.201;1.370;1.394;1.601;1.605;1.590;1.558;1.634;1.537;1.521;1.515;1.629;1.667;1.768;1.855;1.910;1.923;2.259;1.592;1.728;1.782;1.891
Jaguarão;4311007;-32,5604;-53,377;14.604;14.696;17.056;17.166;16.792;15.553;15.270;13.793;15.441;14.727;11.830;11.790;10.713;12.324;16.764;13.958;12.202;16.013;13.083;12.970;15.584;15.787;15.199;13.937;14.487;17.379;15.727;17.071
Jaguari;4311106;-29,4936;-54,703;2.829;2.990;2.967;3.071;3.207;3.227;3.564;3.383;4.089;4.704;4.165;14.432;4.673;4.751;5.043;5.501;5.399;6.012;5.557;5.333;6.114;5.820;5.577;6.367;5.538;5.654;6.172;6.404
Jaquirana;4311122;-28,8811;-50,3637;162;165;181;181;196;230;259;331;342;400;426;457;443;546;694;886;1.042;1.144;1.200;1.097;1.164;1.295;1.175;1.144;1.012;1.039;1.041;1.180
Jari;4311130;-29,2922;-54,2237;-;-;-;-;-;-;-;237;409;454;490;570;645;728;761;827;898;965;1.027;1.063;1.086;1.154;1.179;1.337;1.248;1.221;1.292;1.367
Jóia;4311155;-28,6435;-54,1141;1.119;1.084;1.098;1.200;1.239;1.127;1.071;1.208;1.413;1.684;1.698;1.938;2.137;2.502;2.421;2.200;2.457;2.262;2.186;2.059;2.378;2.689;2.713;3.445;2.846;3.075;3.482;3.340
Júlio de Castilhos;4311205;-29,2298;-53,6772;2.755;2.742;2.151;2.011;2.330;2.105;1.909;2.234;2.563;2.755;2.934;3.148;2.907;3.370;3.439;3.497;3.935;4.272;4.342;4.689;5.394;5.611;5.661;6.289;5.445;6.440;6.508;6.919
Lagoa Bonita do Sul;4311239;-29,4882;-53,0138;-;-;-;-;-;-;-;-;-;-;-;454;2.041;1.962;2.264;2.353;2.367;2.387;2.555;2.543;2.592;2.490;2.533;3.020;2.748;2.597;2.868;2.944
Lagoa dos Três Cantos;4311270;-28,5676;-52,8618;-;-;-;-;-;-;-;-;-;-;1;3;2;2;3;3;4;3;4;4;5;5;6;5;6;45;290;303
Lagoa Vermelha;4311304;-28,2093;-51,5248;1.790;1.920;1.967;2.115;2.348;2.144;2.180;2.576;2.735;3.208;2.655;3.028;2.738;2.859;2.788;2.779;3.068;3.422;3.935;3.815;4.002;4.223;4.177;4.301;3.822;3.800;4.784;4.699
Lagoão;4311254;-29,2348;-52,7997;38;60;55;66;69;112;258;268;298;310;372;484;523;463;554;640;718;760;813;864;877;865;889;933;867;876;894;947
Lajeado;4311403;-29,4591;-51,9644;88.508;100.791;108.429;112.413;124.310;137.755;143.876;156.278;175.752;185.233;213.063;211.733;209.975;213.719;216.511;239.310;247.158;258.533;261.553;294.488;322.110;341.773;344.101;377.637;391.444;276;296;305
Lajeado do Bugre;4311429;-27,6913;-53,1818;-;-;61;134;129;127;129;134;142;169;182;201;189;216;223;250;276;279;302;305;323;353;355;381;339;317;348;376
Lavras do Sul;4311502;-30,8071;-53,8931;453;514;591;639;699;679;659;615;833;910;838;1.004;1.106;1.207;1.708;1.615;1.753;2.039;2.050;2.360;2.615;2.702;2.699;2.939;2.898;2.929;2.581;2.760
Liberato Salzano;4311601;-27,601;-53,0753;1.371;1.105;1.082;1.326;1.352;1.459;1.574;1.614;1.743;2.221;2.155;2.346;2.271;2.474;2.616;2.666;2.730;2.783;2.951;2.935;3.002;3.137;3.092;3.248;3.255;3.037;3.147;3.211
Lindolfo Collor;4311627;-29,5859;-51,2141;-;-;262;321;342;328;416;445;542;643;605;587;600;561;584;596;621;630;716;741;732;770;806;839;756;771;847;863
Linha Nova;4311643;-29,4679;-51,2003;-;-;465;439;473;453;471;530;611;674;669;633;587;653;685;689;713;728;725;741;864;938;918;1.047;1.017;1.112;1.165;1.245
Maçambará;4311718;-29,1445;-56,0674;-;-;-;-;-;-;371;3.805;5.628;7.206;5.879;6.272;7.292;11.021;9.891;13.050;10.234;13.190;12.697;14.101;14.120;13.425;16.608;19.510;14.212;17.882;17.368;20.029
