variavel: Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;ibge;latitude;longitude;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Áurea;4301552;-27,6936;-52,0505;1.441;1.584;1.078;998;1.018;1.089;1.187;1.261;1.283;1.339;1.351;1.432;1.398;1.434;1.511;1.564;1.735;1.664;1.734;1.667;1.840;1.967;1.725;1.871;1.828;1.762;1.905;2.029
Bagé;4301602;-31,3297;-54,0999;9.066;10.473;11.138;11.001;12.351;5.932;2.939;3.079;3.332;3.006;3.603;3.786;4.428;5.159;5.627;5.855;5.499;6.744;7.434;7.569;8.173;8.020;8.160;7.884;7.689;8.716;7.808;11.986
Balneário Pinhal;4301636;-30,2419;-50,2336;-;-;-;-;-;-;31;12;7;8;6;4;3;3;5;15;22;24;30;28;43;53;70;119;90;97;111;97
Barão;4301651;-29,3725;-51,4949;466;453;480;513;552;604;470;405;438;464;506;556;640;636;652;685;696;745;786;898;919;986;1.029;1.144;1.073;1.108;1.159;1.165
Barão de Cotegipe;4301701;-27,6208;-52,3798;1.465;1.572;1.490;1.550;1.716;1.831;2.039;2.176;2.187;2.375;2.450;2.485;2.276;2.323;2.427;2.542;2.846;2.959;3.196;3.294;3.296;3.342;3.520;3.716;3.642;3.510;3.868;4.044
Barão do Triunfo;4301750;-30,3891;-51,7384;-;-;366;402;485;492;606;670;814;857;971;1.053;1.209;1.337;1.452;1.465;1.494;1.506;1.518;1.540;1.709;1.735;1.823;2.056;1.968;1.885;2.233;2.226
Barra do Guarita;4301859;-27,1927;-53,7109;-;-;238;360;385;423;469;543;589;662;690;745;744;807;843;840;891;906;890;908;981;992;994;999;1.006;949;965;1.027
Barra do Quaraí;4301875;-30,2029;-57,5497;-;-;-;-;-;-;7.918;11.602;17.619;15.598;16.495;19.278;19.487;26.120;26.652;29.707;20.517;33.617;31.950;29.307;34.545;34.268;34.533;30.286;26.429;26.003;27.716;34.713
Barra do Ribeiro;4301909;-30,2939;-51,3014;2.997;3.029;2.828;2.634;2.991;3.069;3.112;2.750;3.142;3.787;3.013;3.487;3.784;4.526;4.534;4.625;4.259;4.957;4.188;4.619;4.668;5.037;4.814;5.696;5.298;5.775;6.197;6.090
Barra do Rio Azul;4301925;-27,4068;-52,4084;-;-;660;823;894;951;1.048;1.079;1.215;1.228;1.271;1.247;1.212;1.213;1.273;1.327;1.419;1.487;1.513;1.569;1.728;1.817;1.710;1.735;1.756;1.733;1.768;1.861
Barra Funda;4301958;-27,9205;-53,0391;-;-;419;609;654;722;748;773;791;877;907;912;828;844;873;910;959;1.096;1.306;1.240;1.315;1.388;1.347;1.469;1.429;1.536;1.693;1.747
Barracão;4301800;-27,6739;-51,4586;420;463;547;587;667;752;882;988;991;1.091;1.120;1.210;1.269;1.407;1.437;1.483;1.625;1.796;1.863;1.781;1.713;1.803;1.794;1.876;1.891;1.836;1.855;1.863
Barros Cassal;4302006;-29,0947;-52,5836;953;1.086;1.143;1.184;1.325;2.081;2.496;2.504;2.690;2.941;3.210;3.670;4.212;4.620;4.719;4.692;4.815;4.972;5.357;5.558;5.821;5.693;5.835;5.775;6.201;6.143;6.770;5.578
Benjamin Constant do Sul;4302055;-27,5086;-52,5995;-;-;-;-;-;-;493;604;570;605;640;666;690;666;686;698;732;701;760;724;706;741;727;785;713;693;710;697
Bento Gonçalves;4302105;-29,1662;-51,5165;9.812;8.488;6.932;6.873;6.115;6.573;7.150;7.901;8.745;9.742;10.481;11.724;11.112;11.770;11.719;11.642;11.697;11.763;10.900;10.802;10.653;11.279;7.883;7.530;7.043;7.194;7.522;7.656
Boa Vista das Missões;4302154;-27,6671;-53,3102;-;-;-;36;45;35;51;46;48;49;52;53;53;27;49;48;58;71;72;74;73;69;68;75;76;84;81;83
Boa Vista do Buricá;4302204;-27,6693;-54,1082;2.801;2.846;2.976;3.251;3.314;3.652;2.426;2.417;2.495;2.736;2.909;2.859;2.670;2.732;2.826;2.930;3.000;3.020;3.232;3.307;3.524;3.707;3.815;4.144;4.176;4.196;4.517;4.698
Boa Vista do Cadeado;4302220;-28,5716;-53,8138;-;-;-;-;-;-;-;-;-;-;354;412;531;582;789;778;910;983;1.136;1.246;1.524;1.957;1.098;1.502;1.053;1.354;1.055;1.222
Boa Vista do Sul;4302253;-29,3544;-51,6687;-;-;-;-;-;-;306;522;582;639;664;627;622;692;748;781;829;1.001;1.083;1.139;1.077;1.083;1.184;1.302;1.292;1.303;1.373;1.409
Bom Jesus;4302303;-28,6697;-50,4295;914;1.028;721;750;809;852;1.003;1.191;1.236;1.337;1.343;1.472;1.318;1.547;1.654;2.234;2.291;2.450;2.650;2.530;3.048;2.706;2.690;3.041;2.756;2.745;3.335;3.531
Bom Princípio;4302352;-29,4856;-51,3548;1.760;1.888;1.935;2.062;2.193;1.976;1.690;1.961;2.209;2.154;2.523;3.007;2.751;2.617;2.947;3.093;3.524;3.636;3.823;4.048;4.393;4.811;4.940;5.427;4.978;5.100;5.139;5.631
Bom Progresso;4302378;-27,5399;-53,8716;-;-;392;560;604;641;667;684;722;803;803;818;776;785;836;875;913;887;925;948;965;1.033;996;1.051;1.127;852;957;969
Bom Retiro do Sul;4302402;-29,6086;-51,9464;1.601;1.612;1.759;1.868;1.917;2.025;1.509;1.661;1.865;1.536;1.667;1.784;1.563;1.129;1.519;1.834;1.856;1.946;1.857;1.935;2.052;2.233;2.256;2.309;2.127;2.190;2.448;2.148
Boqueirão do Leão;4302451;-29,3046;-52,4284;-;-;280;310;333;366;394;434;458;463;567;675;723;617;681;675;672;662;745;824;814;847;856;974;834;631;856;917
Bossoroca;4302501;-28,7291;-54,9035;48;53;64;65;84;89;110;96;107;121;130;131;137;113;124;141;143;147;145;154;162;178;179;193;182;183;203;205
Bozano;4302584;-28,36746;-53,77224;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8;9;10;7;2;2;2;2;2;3;3;3
Braga;4302600;-27,6173;-53,7405;495;517;607;680;708;738;736;816;827;918;920;921;860;869;890;867;871;844;908;882;894;951;952;1.009;967;982;1.051;1.109
Brochier;4302659;-29,5501;-51,5945;1.670;1.764;1.237;1.159;1.267;1.176;1.371;1.619;1.757;1.749;1.986;2.177;2.237;2.049;2.204;2.373;2.562;2.575;2.643;2.706;2.807;3.129;3.197;3.315;3.118;3.225;3.324;3.314
Butiá;4302709;-30,1179;-51,9601;1.472;1.071;533;304;447;430;301;393;568;772;621;513;530;694;864;930;1.038;1.056;1.031;978;1.291;1.124;1.219;1.354;1.239;1.335;1.379;1.570
Caçapava do Sul;4302808;-30,5144;-53,4827;1.241;1.366;1.572;1.817;1.998;2.381;2.403;2.457;2.908;2.926;3.558;3.769;3.511;3.159;3.664;3.895;4.116;4.268;4.610;4.663;4.959;5.146;5.216;5.482;5.093;5.025;5.240;5.520
Cacequi;4302907;-29,8883;-54,822;3.451;3.615;3.061;3.808;4.176;3.609;4.123;3.177;5.117;5.124;4.062;4.255;3.495;4.829;5.209;5.259;5.328;6.585;6.563;4.747;6.576;6.300;5.950;6.219;4.807;4.676;4.930;6.495
Cachoeira do Sul;4303004;-30,033;-52,8928;15.680;16.145;15.460;17.505;19.068;18.431;19.953;17.344;22.416;23.310;20.588;22.194;22.750;26.068;28.894;30.009;28.801;32.066;31.790;29.977;34.906;36.766;33.703;36.146;29.863;28.389;31.195;34.087
Cachoeirinha;4303103;-29,9472;-51,1016;256;85;60;60;96;124;155;153;101;124;135;142;51;50;50;60;111;94;37;28;28;29;28;30;49;21;23;23
Cacique Doble;4303202;-27,767;-51,6597;978;1.055;1.043;1.100;1.162;1.240;1.393;1.449;1.444;1.526;1.565;1.598;1.613;1.685;1.811;1.876;1.929;2.060;2.082;2.100;2.209;2.257;2.268;2.391;2.376;2.278;2.357;2.412
Caiçara;4303400;-27,2791;-53,4257;982;1.020;1.034;1.089;1.166;1.250;1.398;1.421;1.426;1.784;1.822;1.971;1.924;2.124;2.231;2.279;2.350;2.340;2.454;2.438;2.410;2.563;2.620;2.720;2.701;2.714;2.925;2.987
Camaquã;4303509;-30,8489;-51,8043;14.062;15.711;13.936;12.224;12.709;11.147;10.285;9.842;12.184;12.461;11.845;13.447;14.761;18.771;20.656;19.656;19.370;22.374;21.846;22.397;23.530;23.191;22.485;24.473;22.647;23.399;25.186;25.206
Camargo;4303558;-28,588;-52,2003;47;54;59;49;44;44;57;79;85;101;102;114;104;119;152;152;179;245;314;302;454;603;617;644;651;698;697;696
Cambará do Sul;4303608;-29,0474;-50,1465;1.782;168;232;248;257;357;473;315;366;411;407;417;425;451;479;544;641;675;680;748;775;813;790;796;777;806;832;906
Campestre da Serra;4303673;-28,7926;-51,0941;-;-;436;537;602;521;617;837;1.027;1.084;1.258;1.422;1.413;1.460;1.576;1.602;1.728;1.870;1.833;1.872;2.079;2.125;2.363;2.650;2.560;2.588;2.933;2.663
Campina das Missões;4303707;-27,9888;-54,8417;75;62;72;72;83;75;78;87;354;485;314;173;1.167;1.039;1.020;807;123;656;1.005;124;94;101;103;117;117;122;126;126
